Filesize,C Time,Cpp time,Python time
1073747968,314.0234134197235,0,0
1073747968,0,0,314.2767038345337
1073747968,0,315.3209125995636,0
2147485696,473.183531999588,0,0
2147485696,0,0,473.1925332546234
2147485696,0,473.5365209579468,0
3221232640,1634.1502487659454,0,0
3221232640,0,1634.8221263885498,0
3221232640,0,0,1634.8281378746033
4294970368,0,0,1813.4151368141174
4294970368,1815.075184583664,0,0
4294970368,0,1815.4351551532745,0
5368717312,0,0,2031.0088798999786
5368717312,2189.3377814292908,0,0
5368717312,0,2253.6841909885406,0
